Overall Analysis,,,,,,,,
Guest ID,Booking Frequency ,Amount Paid,Rank_Recency,Rank_Frequency,Rank Spending,Average Rank,Rank,Guest Tiers
HTA-THL-0020,4,55000,37,7,10,18.0,19,Others
HTA-THL-0015,2,35000,15,20,20,18.3,21,Others
HTA-THL-005,7,95000,16,2,3,7.0,4,VIP Guest
HTA-THL-0027,3,40000,27,12,18,19.0,22,Others
HTA-THL-0016,2,35000,40,20,20,26.7,30,Others
HTA-THL-0021,3,45000,22,12,15,16.3,17,Others
HTA-THL-0023,4,57500,5,7,9,7.0,4,VIP Guest
HTA-THL-0013,3,47500,14,12,13,13.0,13,Others
HTA-THL-0022,6,92500,7,3,4,4.7,3,VIP Guest
HTA-THL-0025,4,70000,29,7,7,14.3,14,Others
HTA-THL-006,6,90000,12,3,6,7.0,4,VIP Guest
HTA-THL-004,6,92500,21,3,4,9.3,9,Others
HTA-THL-002,8,127500,10,1,1,4.0,2,VIP Guest
HTA-THL-007,2,22500,23,20,25,22.7,24,Others
HTA-THL-001,6,100000,5,3,2,3.3,1,VIP Guest
HTA-THL-0034,1,7500,41,30,36,35.7,41,Others
HTA-THL-0030,2,22500,28,20,25,24.3,27,Others
HTA-THL-0012,2,35000,30,20,20,23.3,25,Others
HTA-THL-0031,1,17500,39,30,27,32.0,34,Others
HTA-THL-0040,2,15000,34,20,28,27.3,31,Others
HTA-THL-0010,2,32500,17,20,23,20.0,23,Others
HTA-THL-0032,1,15000,38,30,28,32.0,34,Others
HTA-THL-0018,3,55000,1,12,10,7.7,7,Others
HTA-THL-0037,1,7500,36,30,36,34.0,40,Others
HTA-THL-0045,1,7500,34,30,36,33.3,39,Others
HTA-THL-0060,1,7500,31,30,36,32.3,37,Others
HTA-THL-0061,1,10000,31,30,35,32.0,34,Others
HTA-THL-0062,1,7500,31,30,36,32.3,37,Others
HTA-THL-0026,4,47500,24,7,13,14.7,15,Others
HTA-THL-003,4,62500,8,7,8,7.7,7,Others
HTA-THL-0014,3,37500,17,12,19,16.0,16,Others
HTA-THL-008,2,15000,25,20,28,24.3,27,Others
HTA-THL-0033,1,15000,26,30,28,28.0,32,Others
HTA-THL-0024,3,45000,1,12,15,9.3,9,Others
HTA-THL-0011,2,27500,10,20,24,18.0,19,Others
HTA-THL-009,2,15000,3,20,28,17.0,18,Others
HTA-THL-0017,3,42500,3,12,17,10.7,11,Others
HTA-THL-0028,1,15000,20,30,28,26.0,29,Others
HTA-THL-0029,1,7500,19,30,36,28.3,33,Others
HTA-THL-0019,3,52500,8,12,12,10.7,11,Others
HTA-THL-00227,1,15000,12,30,28,23.3,25,Others
